,model_name,image_type,image_1,image_2,cosine_similarity,numerosity_1,numerosity_2,area_diff,numerosity_comparison_type,layer,n_params,patch_size
0,vit-huge-patch14-224-in21k,dots,stimulus_1174.png,stimulus_1317.png,1.0000002,7.0,7.0,0.0,same,0,632404480,14
1,vit-huge-patch14-224-in21k,dots,stimulus_1174.png,stimulus_1317.png,0.99997354,7.0,7.0,0.0,same,1,632404480,14
2,vit-huge-patch14-224-in21k,dots,stimulus_1174.png,stimulus_1317.png,0.9997063,7.0,7.0,0.0,same,2,632404480,14
3,vit-huge-patch14-224-in21k,dots,stimulus_1174.png,stimulus_1317.png,0.9992745,7.0,7.0,0.0,same,3,632404480,14
4,vit-huge-patch14-224-in21k,dots,stimulus_1174.png,stimulus_1317.png,0.9986769,7.0,7.0,0.0,same,4,632404480,14
5,vit-huge-patch14-224-in21k,dots,stimulus_1174.png,stimulus_1317.png,0.9979307,7.0,7.0,0.0,same,5,632404480,14
6,vit-huge-patch14-224-in21k,dots,stimulus_1174.png,stimulus_1317.png,0.9972802,7.0,7.0,0.0,same,6,632404480,14
7,vit-huge-patch14-224-in21k,dots,stimulus_1174.png,stimulus_1317.png,0.9967649,7.0,7.0,0.0,same,7,632404480,14
8,vit-huge-patch14-224-in21k,dots,stimulus_1174.png,stimulus_1317.png,0.99675745,7.0,7.0,0.0,same,8,632404480,14
9,vit-huge-patch14-224-in21k,dots,stimulus_1174.png,stimulus_1317.png,0.99635464,7.0,7.0,0.0,same,9,632404480,14
10,vit-huge-patch14-224-in21k,dots,stimulus_1174.png,stimulus_1317.png,0.9959478,7.0,7.0,0.0,same,10,632404480,14
11,vit-huge-patch14-224-in21k,dots,stimulus_1174.png,stimulus_1317.png,0.9956723,7.0,7.0,0.0,same,11,632404480,14
12,vit-huge-patch14-224-in21k,dots,stimulus_1174.png,stimulus_1317.png,0.9956146,7.0,7.0,0.0,same,12,632404480,14
13,vit-huge-patch14-224-in21k,dots,stimulus_1174.png,stimulus_1317.png,0.9955103,7.0,7.0,0.0,same,13,632404480,14
14,vit-huge-patch14-224-in21k,dots,stimulus_1174.png,stimulus_1317.png,0.99542964,7.0,7.0,0.0,same,14,632404480,14
15,vit-huge-patch14-224-in21k,dots,stimulus_1174.png,stimulus_1317.png,0.9953601,7.0,7.0,0.0,same,15,632404480,14
16,vit-huge-patch14-224-in21k,dots,stimulus_1174.png,stimulus_1317.png,0.9951476,7.0,7.0,0.0,same,16,632404480,14
17,vit-huge-patch14-224-in21k,dots,stimulus_1174.png,stimulus_1317.png,0.99484265,7.0,7.0,0.0,same,17,632404480,14
